NameID,Name,Roster Position,Salary,Team,Projections,Ownership
Stephen Curry (16206140),Stephen Curry,PG,9600,GS,46.1,23.5
Stephen Curry (16206140),Stephen Curry,G,9600,GS,46.1,23.5
Stephen Curry (16206140),Stephen Curry,UTIL,9600,GS,46.1,23.5
Julius Randle (16206222),Julius Randle,PF,8800,NY,45.81,30.5
Julius Randle (16206222),Julius Randle,C,8800,NY,45.81,30.5
Julius Randle (16206222),Julius Randle,F,8800,NY,45.81,30.5
Julius Randle (16206222),Julius Randle,UTIL,8800,NY,45.81,30.5
Brandon Ingram (16206252),Brandon Ingram,SF,8500,NO,39.17,16.1
Brandon Ingram (16206252),Brandon Ingram,PF,8500,NO,39.17,16.1
Brandon Ingram (16206252),Brandon Ingram,F,8500,NO,39.17,16.1
Brandon Ingram (16206252),Brandon Ingram,UTIL,8500,NO,39.17,16.1
Donovan Mitchell (16206246),Donovan Mitchell,PG,7900,UTA,38.83,23.7
Donovan Mitchell (16206246),Donovan Mitchell,SG,7900,UTA,38.83,23.7
Donovan Mitchell (16206246),Donovan Mitchell,G,7900,UTA,38.83,23.7
Donovan Mitchell (16206246),Donovan Mitchell,UTIL,7900,UTA,38.83,23.7
Zion Williamson (16206317),Zion Williamson,PF,7700,NO,37.15,23.6
Zion Williamson (16206317),Zion Williamson,C,7700,NO,37.15,23.6
Zion Williamson (16206317),Zion Williamson,F,7700,NO,37.15,23.6
Zion Williamson (16206317),Zion Williamson,UTIL,7700,NO,37.15,23.6
Rudy Gobert (16206212),Rudy Gobert,C,7200,UTA,35.97,23.4
Rudy Gobert (16206212),Rudy Gobert,UTIL,7200,UTA,35.97,23.4
RJ Barrett (16206321),RJ Barrett,SG,6900,NY,32.88,18.2
RJ Barrett (16206321),RJ Barrett,SF,6900,NY,32.88,18.2
RJ Barrett (16206321),RJ Barrett,F,6900,NY,32.88,18.2
RJ Barrett (16206321),RJ Barrett,G,6900,NY,32.88,18.2
RJ Barrett (16206321),RJ Barrett,UTIL,6900,NY,32.88,18.2
Mike Conley (16206133),Mike Conley,PG,6500,UTA,31.75,22
Mike Conley (16206133),Mike Conley,G,6500,UTA,31.75,22
Mike Conley (16206133),Mike Conley,UTIL,6500,UTA,31.75,22
Andrew Wiggins (16206226),Andrew Wiggins,SG,6200,GS,30.53,23.9
Andrew Wiggins (16206226),Andrew Wiggins,SF,6200,GS,30.53,23.9
Andrew Wiggins (16206226),Andrew Wiggins,F,6200,GS,30.53,23.9
Andrew Wiggins (16206226),Andrew Wiggins,G,6200,GS,30.53,23.9
Andrew Wiggins (16206226),Andrew Wiggins,UTIL,6200,GS,30.53,23.9
Jordan Clarkson (16206165),Jordan Clarkson,PG,6100,UTA,28.09,14.5
Jordan Clarkson (16206165),Jordan Clarkson,SG,6100,UTA,28.09,14.5
Jordan Clarkson (16206165),Jordan Clarkson,G,6100,UTA,28.09,14.5
Jordan Clarkson (16206165),Jordan Clarkson,UTIL,6100,UTA,28.09,14.5
Mitchell Robinson (16206312),Mitchell Robinson,C,6000,NY,28.41,12.5
Mitchell Robinson (16206312),Mitchell Robinson,UTIL,6000,NY,28.41,12.5
Elfrid Payton (16206194),Elfrid Payton,PG,5800,NY,26.59,13.5
Elfrid Payton (16206194),Elfrid Payton,G,5800,NY,26.59,13.5
Elfrid Payton (16206194),Elfrid Payton,UTIL,5800,NY,26.59,13.5
Kelly Oubre Jr. (16206236),Kelly Oubre Jr.,SF,5700,GS,28.95,20.4
Kelly Oubre Jr. (16206236),Kelly Oubre Jr.,PF,5700,GS,28.95,20.4
Kelly Oubre Jr. (16206236),Kelly Oubre Jr.,F,5700,GS,28.95,20.4
Kelly Oubre Jr. (16206236),Kelly Oubre Jr.,UTIL,5700,GS,28.95,20.4
Steven Adams (16206205),Steven Adams,C,5700,NO,28.03,16.7
Steven Adams (16206205),Steven Adams,UTIL,5700,NO,28.03,16.7
Draymond Green (16206152),Draymond Green,PF,5500,GS,26.34,18.1
Draymond Green (16206152),Draymond Green,C,5500,GS,26.34,18.1
Draymond Green (16206152),Draymond Green,F,5500,GS,26.34,18.1
Draymond Green (16206152),Draymond Green,UTIL,5500,GS,26.34,18.1
Lonzo Ball (16206275),Lonzo Ball,PG,5500,NO,22.39,10.2
Lonzo Ball (16206275),Lonzo Ball,G,5500,NO,22.39,10.2
Lonzo Ball (16206275),Lonzo Ball,UTIL,5500,NO,22.39,10.2
Alec Burks (16206162),Alec Burks,SG,5300,NY,24.12,8.4
Alec Burks (16206162),Alec Burks,G,5300,NY,24.12,8.4
Alec Burks (16206162),Alec Burks,UTIL,5300,NY,24.12,8.4
Eric Bledsoe (16206158),Eric Bledsoe,PG,5300,NO,23.23,13.3
Eric Bledsoe (16206158),Eric Bledsoe,SG,5300,NO,23.23,13.3
Eric Bledsoe (16206158),Eric Bledsoe,G,5300,NO,23.23,13.3
Eric Bledsoe (16206158),Eric Bledsoe,UTIL,5300,NO,23.23,13.3
Bojan Bogdanovic (16206179),Bojan Bogdanovic,SF,5000,UTA,22.46,14.9
Bojan Bogdanovic (16206179),Bojan Bogdanovic,PF,5000,UTA,22.46,14.9
Bojan Bogdanovic (16206179),Bojan Bogdanovic,F,5000,UTA,22.46,14.9
Bojan Bogdanovic (16206179),Bojan Bogdanovic,UTIL,5000,UTA,22.46,14.9
Nickeil Alexander-Walker (16206300),Nickeil Alexander-Walker,PG,4900,NO,21.65,11.9
Nickeil Alexander-Walker (16206300),Nickeil Alexander-Walker,SG,4900,NO,21.65,11.9
Nickeil Alexander-Walker (16206300),Nickeil Alexander-Walker,G,4900,NO,21.65,11.9
Nickeil Alexander-Walker (16206300),Nickeil Alexander-Walker,UTIL,4900,NO,21.65,11.9
Royce O'Neale (16206190),Royce O'Neale,SF,4800,UTA,21.96,14.4
Royce O'Neale (16206190),Royce O'Neale,PF,4800,UTA,21.96,14.4
Royce O'Neale (16206190),Royce O'Neale,F,4800,UTA,21.96,14.4
Royce O'Neale (16206190),Royce O'Neale,UTIL,4800,UTA,21.96,14.4
Eric Paschall (16206242),Eric Paschall,SF,4600,GS,17.07,4.3
Eric Paschall (16206242),Eric Paschall,PF,4600,GS,17.07,4.3
Eric Paschall (16206242),Eric Paschall,F,4600,GS,17.07,4.3
Eric Paschall (16206242),Eric Paschall,UTIL,4600,GS,17.07,4.3
James Wiseman (16206342),James Wiseman,C,4500,GS,25.38,21.7
James Wiseman (16206342),James Wiseman,UTIL,4500,GS,25.38,21.7
Josh Hart (16206214),Josh Hart,SF,4500,NO,19.25,8.7
Josh Hart (16206214),Josh Hart,F,4500,NO,19.25,8.7
Josh Hart (16206214),Josh Hart,UTIL,4500,NO,19.25,8.7
Reggie Bullock (16206169),Reggie Bullock,SG,4300,NY,18.01,7.8
Reggie Bullock (16206169),Reggie Bullock,SF,4300,NY,18.01,7.8
Reggie Bullock (16206169),Reggie Bullock,F,4300,NY,18.01,7.8
Reggie Bullock (16206169),Reggie Bullock,G,4300,NY,18.01,7.8
Reggie Bullock (16206169),Reggie Bullock,UTIL,4300,NY,18.01,7.8
Joe Ingles (16206174),Joe Ingles,SG,4300,UTA,19.95,13.1
Joe Ingles (16206174),Joe Ingles,SF,4300,UTA,19.95,13.1
Joe Ingles (16206174),Joe Ingles,F,4300,UTA,19.95,13.1
Joe Ingles (16206174),Joe Ingles,G,4300,UTA,19.95,13.1
Joe Ingles (16206174),Joe Ingles,UTIL,4300,UTA,19.95,13.1
Immanuel Quickley (16206333),Immanuel Quickley,PG,4100,NY,21.3,13.9
Immanuel Quickley (16206333),Immanuel Quickley,G,4100,NY,21.3,13.9
Immanuel Quickley (16206333),Immanuel Quickley,UTIL,4100,NY,21.3,13.9
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Nerlens Noel (16206210),Nerlens Noel,C,3600,NY,14.63,3.8
Nerlens Noel (16206210),Nerlens Noel,UTIL,3600,NY,14.63,3.8
Damion Lee (16206197),Damion Lee,PG,3500,GS,13.61,5.7
Damion Lee (16206197),Damion Lee,SG,3500,GS,13.61,5.7
Damion Lee (16206197),Damion Lee,G,3500,GS,13.61,5.7
Damion Lee (16206197),Damion Lee,UTIL,3500,GS,13.61,5.7
JJ Redick (16206128),JJ Redick,SG,3500,NO,11.49,6
JJ Redick (16206128),JJ Redick,SF,3500,NO,11.49,6
JJ Redick (16206128),JJ Redick,F,3500,NO,11.49,6
JJ Redick (16206128),JJ Redick,G,3500,NO,11.49,6
JJ Redick (16206128),JJ Redick,UTIL,3500,NO,11.49,6
Derrick Favors (16206156),Derrick Favors,C,3400,UTA,16.2,11.5
Derrick Favors (16206156),Derrick Favors,UTIL,3400,UTA,16.2,11.5
Kent Bazemore (16206146),Kent Bazemore,SF,3300,GS,13.28,4.8
Kent Bazemore (16206146),Kent Bazemore,F,3300,GS,13.28,4.8
Kent Bazemore (16206146),Kent Bazemore,UTIL,3300,GS,13.28,4.8
Kevon Looney (16206240),Kevon Looney,C,3200,GS,11.93,3.1
Kevon Looney (16206240),Kevon Looney,UTIL,3200,GS,11.93,3.1
Kevin Knox II (16206308),Kevin Knox II,SF,3200,NY,9.56,3
Kevin Knox II (16206308),Kevin Knox II,PF,3200,NY,9.56,3
Kevin Knox II (16206308),Kevin Knox II,F,3200,NY,9.56,3
Kevin Knox II (16206308),Kevin Knox II,UTIL,3200,NY,9.56,3
Obi Toppin (16206314),Obi Toppin,PF,3200,NY,9.33,2.6
Obi Toppin (16206314),Obi Toppin,F,3200,NY,9.33,2.6
Obi Toppin (16206314),Obi Toppin,UTIL,3200,NY,9.33,2.6
Brad Wanamaker (16206143),Brad Wanamaker,PG,3100,GS,13.52,8.3
Brad Wanamaker (16206143),Brad Wanamaker,G,3100,GS,13.52,8.3
Brad Wanamaker (16206143),Brad Wanamaker,UTIL,3100,GS,13.52,8.3
Georges Niang (16206201),Georges Niang,SF,3100,UTA,8.72,2.3
Georges Niang (16206201),Georges Niang,PF,3100,UTA,8.72,2.3
Georges Niang (16206201),Georges Niang,F,3100,UTA,8.72,2.3
Georges Niang (16206201),Georges Niang,UTIL,3100,UTA,8.72,2.3
Jaxson Hayes (16206336),Jaxson Hayes,C,3100,NO,12.35,3.7
Jaxson Hayes (16206336),Jaxson Hayes,UTIL,3100,NO,12.35,3.7
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Jordan Poole (16206304),Jordan Poole,PG,3000,GS,5.78,1.5
Jordan Poole (16206304),Jordan Poole,SG,3000,GS,5.78,1.5
Jordan Poole (16206304),Jordan Poole,G,3000,GS,5.78,1.5
Jordan Poole (16206304),Jordan Poole,UTIL,3000,GS,5.78,1.5
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
